,Nit No.,Title,Last Date,Published On
101,5032,CNC Turning Centre,04-07-2025,13-06-2025
102,5032,Corrigendum-CNC Turning Centre,04-07-2025,23-06-2025
103,5044,Providing and fixing air circulating fans and additional lights in LHC AC Plant IIT Delhi,02-07-2025,25-06-2025
104,5011,Procurement of GPU Cluster,27-06-2025,30-05-2025
105,5012,Advanced USG System with Shear Wave Elastography,30-06-2025,02-06-2025
106,5013,Notice Inviting Quotation from General Health Insurance Company for employees (Serving / Retired) and Students of INDIAN INSTITUTE OF TECHNOLOGY DELHI  (IIT Delhi).,30-06-2025,03-06-2025
107,5028,"Renovation, modifications, Recasting of roof slab and Retrofitting of 36-nos. B-Type houses (Block, B-2, B-7, and B-15) in the East campus area at IIT Delhi.",01-07-2025,12-06-2025
108,5013,Corrigendum-Notice Inviting Quotation from General Health Insurance Company for employees (Serving / Retired) and Students of INDIAN INSTITUTE OF TECHNOLOGY DELHI (IIT Delhi).,30-06-2025,16-06-2025
109,5039,Structural repair and waterproofing work in Kendriya Vidyalay in East Campus at IIT Delhi.,26-06-2025,18-06-2025
110,5042,AR and MO of building work in academic area at IIT Delhi,27-06-2025,19-06-2025
111,5038,Providing and fixing multi swings in Kendriya Vidyalaya and Nursery School at IIT Delhi,25-06-2025,18-06-2025
112,5031,"Providing Kitchen Ventilation Arrangement in Himadri, Satpura and Zanskar Hostel, IIT Delhi",24-06-2025,13-06-2025
113,5033,Procurement of Compressors for split AC,24-06-2025,16-06-2025
114,5036,Comprehensive maintenance including day-to-day maintenance of water coolers at various location in IIT Delhi.,24-06-2025,17-06-2025
115,5037,A/R and M/O Sanitation Works at IIT Delhi,24-06-2025,17-06-2025
116,5005,Fixed-bed reactor for CO2 capture and methanation,19-06-2025,23-05-2025
117,5026,SITC of VRF / VRV type AC in Different Locations (APR 2025) in IIT Delhi.,19-06-2025,11-06-2025
118,5027,AR & Mo building in Academic area at IIT Delhi,19-06-2025,12-06-2025
119,5029,PROVIDING CONSULTANCY SERVICES FOR OBTAINING WATER SUPPLY CONNECTION FROM DELHI JAL BOARD INSIDE IIT DELHI,19-06-2025,12-06-2025
120,5030,"Operating and Maintaining of IBMS System of Centralized Air Conditioning System of 99 B and C Building, IIT Delhi.",19-06-2025,12-06-2025
121,5001,Online mass spectrometer,18-06-2025,21-05-2025
122,5019,"Replacement of 5 x 8 Passenger, 1 x 5 Passenger and 2 x 10 Passenger Lifts at different places in IIT Delhi.",18-06-2025,05-06-2025
123,5025,"Providing Supplying, Installation, Testing and Commissioning of 2 Nos 25 KLD Effluent Treatment plant including Comprehensive Operation and Maintenance for 3 years inside IIT Delhi",18-06-2025,11-06-2025
124,4500,Modular Raman Analytical Microscope with 532 nm laser and manual mapping,17-06-2025,20-05-2025
125,5022,SITC of Split and WAC Units in Labs and Offices in IIT Delhi (ACCR APRIL - MAY 2025),17-06-2025,10-06-2025
126,5023,Providing and Fixing fire retardant low tension electrical flooring in lift machine rooms in 99B and 99C Building Academic Area at IIT Delhi,17-06-2025,10-06-2025
127,5024,AR and MO Furniture Workshop for the year 2025-2026 at IIT Delhi,17-06-2025,10-06-2025
128,5020,SITC of Tower Type AC Units in PPMS and Instrumentation Labs of CRF in Sonipat Campus of IIT Delhi (ACCR APR 2025),16-06-2025,09-06-2025
129,5009,Appointment of an Architect / Consultant for Designing the Main gate and the Urban Precincts surrounding it at IIT Campus,12-06-2025,29-05-2025
130,5016,"Replacement of 1 x 150 TR Water Cooled Chiller AC of Bharti Bldg., IIT Delhi",12-06-2025,03-06-2025
131,5018,Construction of 02 nos. temporary classrooms and other miscellaneous works in Nursery school in East campus at IIT Delhi.,12-06-2025,05-06-2025
132,5017,"Providing and Construction of Boundary Wall for Park Adjacent to Kendriya Bhandar and Enclosure for dog shelter, West Campus, IIT Delhi.",11-06-2025,04-06-2025
133,4995,"Supply, installation and commissioning of a multiaxis CNC system and fibre laser wobble welding head with accessories",10-06-2025,13-05-2025
134,5014,Replacement of Supply Air Grill and Return Air Grill of different sizes and other allied works in 2nd Floor of Library Bldg. IIT Delhi,10-06-2025,03-06-2025
135,5015,Providing childrens Playground Equipment (Jhula)  in west campus near kendriya bhandar park of  IIT Delhi,10-06-2025,03-06-2025
136,5010,"SITC of Centralised Drinking Water Filtration (RO) and Distribution System in SATHI Bldg, Sonipat, IIT Campus",06-06-2025,30-05-2025
137,5007,"SITC of VRV/VRF AC in SPS, Security and Establishment Units, IIT Delhi",03-06-2025,27-05-2025
138,5008,Day-to-day maintenance for water coolers and reverse osmosis system installed in various sites at IIT Delhi,03-06-2025,27-05-2025
139,5006,A/R and M/O Sanitation Works at IIT Delhi,03-06-2025,27-05-2025
140,4997,SITC of Ductable AC Units in Different Places in IIT Delhi,29-05-2025,15-05-2025
141,5003,"Providing and fixing of fire retardant LT and HT electrical flooring in Sahyadri, RI Park, Synergy and Block No. 99B and 99C Sub-Stations at IIT Delhi.",29-05-2025,22-05-2025
142,5004,Open Tender for Conducting a Survey to Map Evolving Workforce Skills and Competency Requirements for Indias Energy Transition Across Key Sectors,29-05-2025,22-05-2025
143,4993,Supply of Floor Standing Vacuum Forming Machine (1 No) and Desktop Vacuum Forming Machine (1 No),29-05-2025,09-05-2025
144,5000,Providing Supervisor for AC Installation Work in IIT Delhi,28-05-2025,21-05-2025
145,5002,"SITC of I.P. Switch, Network and Associated Wiring for Providing I.P. Telephones in CRF Building at IIT Sonipat.",28-05-2025,21-05-2025
146,4998,"Providing, Fixing and Fabrication of Shed Over the Ramp in SATHI Building and Other Allied Civil Work in I-TEC and CRF Buildings at Sonipat Campus of IIT Delhi.",23-05-2025,16-05-2025
147,4996,Providing Fire Resistant Door in Connecting Passage of 12 Series Room in Nalanda Girls Hostel at West Campus of IIT Delhi.,21-05-2025,14-05-2025
148,4988,"Structural Repair of RC members, additional support to cantilever verandah, removing damaged C.C. jali, and face lifting of Kailash Hostel at IIT Delhi",16-05-2025,08-05-2025
149,4994,Providing and Fixing of Fire Retardant LT Electrical Flooring in Electrical Rooms of AC Plants in IIT Delhi,16-05-2025,09-05-2025
150,4989,Round the clock operation with rescue operation of lifts including comprehensive annual maintenance contract of lifts in whole campus at IIT Delhi.,15-05-2025,08-05-2025
151,4990,Round the clock operation of 4 x 2000 KVA HT DG sets in IIT Delhi.,15-05-2025,08-05-2025
152,4991,Servicing and rectification of 7x250 KVAR APFC panel at various sub-stations at IIT Delhi.,15-05-2025,09-05-2025
153,1,"Design,Supply and Installation of sculpture at maintenance block at IIT Delhi",14-05-2025,05-05-2025
154,4987,Providing Internal Electrification work for Room No. 558 third floor ITEC Building Sonipat Campus of IIT Delhi.,13-05-2025,05-05-2025
155,4974,Biaxial Shake Table Facility,09-05-2025,11-04-2025
156,4986,A/R and M/O to Building in Entire Campus at IIT Delhi,12-05-2025,02-05-2025
157,4985,AR and MO buildings at various locations in IIT Delhi,12-05-2025,02-05-2025
158,4984,SITC of Split and WAC Units in Labs and Offices and Guest House in IIT Delhi (ACCR MAR 2025),08-05-2025,30-04-2025
159,4969,High Volume Microwave reactor digestor (2 nos),05-05-2025,07-04-2025
160,4971,Turnkey Pilot Scale ETP of 1.2 KLD Capacity for Treating Industrial Effluent,06-05-2025,08-04-2025
161,4980,"Replacement of 5 x 8 Passenger, 1 x 5 Passenger and 2 x 10 Passenger  Lifts at different places in IIT Delhi.",05-05-2025,22-04-2025
162,4983,CAMC of 03 Nos. Johnson lifts installed in Himadri Hostel (Girls Hostel) in Residential area (East Campus) at IIT Delhi.,06-05-2025,29-04-2025
163,4981,Providing and Fixing Lighting Provision on Footpath to CRF-BSL3 Lab in Micro model complex at IIT Delhi.,30-04-2025,23-04-2025
164,4982,Replacing old damaged F-N type switches with MCCB's & old burnt cables in the existing L.T. Panels in Academic area at IIT Delhi.,30-04-2025,23-04-2025
165,4979,PROVIDING CONSULTANCY SERVICES FOR OBTAINING WATER SUPPLY CONNECTION FROM DELHI JAL BOARD INSIDE IIT DELHI,29-04-2025,21-04-2025
166,4975,Comprehensive maintenance including day-to-day maintenance of water coolers at various location in IIT Delhi.,25-04-2025,17-04-2025
167,4976,Comprehensive AMC of 2X100 KVA UPS system make: EATON installed in ITEC building Sonipat Campus of IIT Delhi.,28-04-2025,21-04-2025
168,4977,Comprehensive maintenance including day-to-day maintenance and operation of reverse osmosis system installed at various locations in IIT Delhi.,28-04-2025,21-04-2025
169,4978,Renovation and modification of Faculty offices in the academic area at IIT Delhi,28-04-2025,21-04-2025
170,4966,AAA LED Solar Simulator,24-04-2025,03-04-2025
171,4962,Empanelment of Architectural consultants for providing Comprehensive Architectural and Engineering Consultancy Services,14-04-2025,24-03-2025
172,4965,"Providing and fixing anchor fastener & Other Misc. Work in LHC Building, Main Building, Block-I (DBEB) & KSBS at IIT Delhi",11-04-2025,03-04-2025
173,4967,"Providing and Laying 150 mm dia Fire Fighting line from Zanskar Hostel pump room to 03 nos. Boys hostels (Shivalik Hostel, Vindhyanchal Hostel and Kumaun Hostel) in west campus area at IIT Delhi.",11-04-2025,04-04-2025
174,4968,A.R. & M.O. to Buildings in West Campus Maintenance Area at IIT Delhi,14-04-2025,04-04-2025
175,4970,"Preventive, Routine & Breakdown Maintenance of various capacity D.G Sets installed in Sonipat Campus of IIT Delhi",15-04-2025,08-04-2025
176,4973,"Repairing and Replacement of Unserviceable Spares in Cooling Tower of MSB and SIT Building Central AC Plant, IIT Delhi",16-04-2025,08-04-2025
177,4972,SITC of Scale Prevention Device in Condenser Pipeline of Chiller ACs in IIT Delhi,16-04-2025,08-04-2025
178,4960,Nanosecond pulsed laser and its accessories,09-04-2025,19-03-2025
179,4964,Providing and Replacement of Parts of Automatic Sliding Glass Door of Sonipat Campus of IIT Delhi.,10-04-2025,03-04-2025
180,4963,CAMC of 03 Nos. Johnson lifts installed in Himadri Hostel (Girls Hostel) in Residential area (East Campus) at IIT Delhi.,04-04-2025,28-03-2025
181,4199,NOTICE INVITING EXPRESSION OF INTEREST FROM BANKS,31-03-2025,05-04-2024
182,4961,"A/R and M/O Buildings services and improving appearance of campus by plantation, flowering and grasses etc. for developing green environment at Sonipat Campus of IIT Delhi",01-04-2025,21-03-2025
183,4945,Dual Beam FESEM with Plasma FIB,25-03-2025,25-02-2025
184,4944,"Supply, installation and commissioning of a fibre laser wobble welding head with a multiaxis CNC system and accessories",27-03-2025,27-02-2025
185,4946,Scanning Electron Microscope with Accessories,27-03-2025,27-02-2025
186,4952,Supply of Floor Standing Vacuum Forming Machine (1 No) and Desktop Vacuum Forming Machine (1 No),26-03-2025,05-03-2025
187,4956,"Repair & Renovation, Aluminium Board Partition and Wooden Work in Room No.558 at 3rd Floor I-TEC Building at Sonipat Campus of IIT Delhi.",24-03-2025,12-03-2025
188,4958,SITC of Split and WAC Units in Labs and Offices in IIT Delhi (ACCR FEB 2025),25-03-2025,17-03-2025
189,4959,"Cleaning of Kachha Nala by deploying Crawler mounted Excavator, JCB & Dumpers on hire basis and Strengthening work by making Gabion structure near Southend Road Nala in academic area at  IIT Delhi campus",27-03-2025,18-03-2025
190,4943,Empanelment of Architectural consultants for providing Comprehensive Architectural and Engineering Consultancy Services,19-03-2025,24-02-2025
191,4957,Servicing and rectification of 7x250 KVAR APFC panel at various sub-stations at IIT Delhi.,19-03-2025,12-03-2025
192,4926,Supply of UE Simulator Tool for 5G Radio Access Network Product,17-03-2025,17-02-2025
193,4937,200KV High Resolution FEG -TEM specifications with EDS,17-03-2025,21-02-2025
194,4953,A.R. and M.O. to Buildings in West Campus Maintenance Area at IIT Delhi,17-03-2025,06-03-2025
195,4954,"Major Repair and modification of type III B-type, (10 nos. houses) IVC-type and D-type house (05 nos. of each type houses) in East Campus at IIT Delhi",17-03-2025,07-03-2025
196,4955,"Special Structural Repair Work of columns, facias, Beams, and ceiling of slabs at various location in academic area at IIT Delhi",17-03-2025,10-03-2025
197,4920,X ray Photoelectron spectroscopy (XPS),14-03-2025,14-02-2025
198,9,Relocation of open-air Gym Equipment’s (14Nos.) from Park near at Exit Gate No. 5 of IIT Delhi Campus to other specified location in the Campus,12-03-2025,04-03-2025
199,4951,"Supplying and fixing of Anticorrosive FRP Coating on MS Condenser Pipe of AC Plants, IIT Delhi",13-03-2025,06-03-2025
200,4948,"Addition and Alteration Work in MDF, Academic Area, Old Campus and New Campus at IIT Delhi.",13-03-2025,06-03-2025
201,4947,"Replacement of Screw Compressor of Blue Star Chiller Plant of Bharti Bldg., IIT Delhi",10-03-2025,03-03-2025
202,4949,"Providing and fixing of fire retardant LT and HT electrical flooring in Girnar, Zanskar, Dronagiri, Saptagiri, Tifac Sub-Stations at IIT Delhi",11-03-2025,04-03-2025
203,4950,Operation and routine maintenance of electrical equipments installed in various sub-stations at IIT Delhi.,11-03-2025,04-03-2025
204,4923,Mechanized Housekeeping Services for Academic Block East (99C) and Academic Block West (99B) at IIT Delhi.,07-03-2025,14-02-2025
205,4941,"A/R and M/O Buildings services and improving appearance of campus by plantation, flowering and grasses etc. for developing green environment at Sonipat Campus of IIT Delhi.",06-03-2025,24-02-2025
206,4918,Expression of Interest (EOI) for Empanelment of Arrangers/Primary Dealers with IIT Delhi,05-03-2025,12-02-2025
207,4938,"Cleaning of Kachha Nala by deploying Crawler mounted Excavator, JCB and Dumpers on hire basis and Strengthening work by making Gabion structure near Southend Road Nala in academic area at  IIT Delhi campus",05-03-2025,21-02-2025
208,4940,A.R. and M.O. to Buildings in Boys Hostel Maintenance area at IIT Delhi during the year 2025-26,05-03-2025,24-02-2025
209,4942,A/R & M/O Public Health Services in IIT  Delhi during the year 2024-2025.,05-03-2025,24-02-2025
210,4911,Procurement of R and D Products (5G Captive Network Equipment and Smart Sustainable 5G-IOT Use-cases devices) and Services (design implementation/ prototyping/ operation services) for advanced research translation project of IIT Delhi,04-03-2025,04-02-2025
211,4939,A.R. & M.O. to Buildings in Residential Area of West campus at IIT Delhi during the year 2025-26,04-03-2025,21-02-2025
212,4935,"Rehabilitation and Retrofitting of RCC slab, beam of various rooms and toilets of Hostels in Boys Hostel area at IIT Delhi",03-03-2025,21-02-2025
213,4936,"Providing and fixing of roller blinds at Karakoram Hostels Mess and dining area and Miscellaneous civil work of NSS room at Student Activity Centre, IIT Delhi",03-03-2025,21-02-2025
214,4934,A.R and M.O to building in west campus maintenance area at IIT Delhi.,03-03-2025,21-02-2025
215,4912,Optical Spectrum Analyser,28-02-2025,07-02-2025
216,4917,Appointment of the Consultant / Firm for Preparation of revised Master Plan and obtaining Necessary Approvals from Local bodies for IIT Delhi Campus,27-02-2025,12-02-2025
217,4925,"Providing Kitchen Ventilation Arrangement in Shivalik Hostel, IIT Delhi",27-02-2025,17-02-2025
